stop_id,level_id,stop_name,stop_lat,stop_lon,location_type,parent_station
XfgrRxbI, ,Seva Sadan Higher Secondary School, 12.930752627862708, 80.11154637786217, 0,
tTPgmAay, ,Vannan Kulam, 13.043068232670803, 80.12266714597618, 0,
ZcOxufIN, ,Varadharajapuram Kishkinda, 12.93868689785895, 80.0835787591684, 0,
MGitFLID, ,M G R Nagar, 13.037317944329056, 80.19597561298201, 0,
KwyfuOzT, ,Malima nagar, 13.199718240282266, 80.21132611107852, 0,
AkOiWGvq, ,Ambattur Railway Station, 13.114567170176906, 80.15453069060567, 0,
jXSUiggd, ,Grama Panchayath Sirukalathur, 12.994270725820714, 80.07421835669517, 0,
ojqTFFWy, ,Tambaram West Bus Stand, 12.927652178598898, 80.11862628452741, 0,
lqMPnIra, ,Vadapalani Bus Stand, 13.04932793, 80.20703522, 0,
sICvpcEb, ,Chokkanallur, 13.079604855115866, 80.07253395307225, 0,
DJkAcxlA, ,Ashok Leyland Ennore, 13.209929201805144, 80.31654460099924, 0,
aFNbJDFF, ,Manamathi Koot Road, 12.719286744086466, 80.17781662826451, 0,
pgLyGXkK, ,Guindy Industrial Estate, 13.00922075, 80.2107926, 0,
QkjrErqw, ,Vinayagar Kovil 1, 13.02249052705187, 80.16662413988114, 0,
uGbUWjny, ,Somangalam Road Or Amarambedu Road Junction, 12.95605980471159, 80.0445714866471, 0,
jdLnGxbl, ,Nurse Quarters, 13.082063838276511, 80.27905380067932, 0,
fGmFhgnx, ,Dunlop, 13.106193579904843, 80.15223695407883, 0,
wggFpXDl, ,Indira Gandhi Street, 13.077394741359576, 80.16084055441803, 0,
zqZasXpA, ,Redhills RTO Office, 13.21460399271362, 80.17008864408778, 0,
VXxWSpbN, ,Selva Vinyagar Temple, 12.987053693099625, 80.06949364687347, 0,
WZsRGQaH, ,Dam U Turn Point, 13.186004107955121, 80.19022317362806, 0,
RxHTaOMh, ,Echankadu, 12.946790629574794, 80.18413655808286, 0,
kXtCwJQx, ,New Woodlands, 13.044940008787334, 80.26283182657016, 0,
ETbpojBo, ,Nadukuthagai Indane GAS Company, 13.13515472000053, 80.02263965096509, 0,
duRJdiSr, ,Padmanaba Theatre, 13.10217102303136, 80.2742010228535, 0,
ZrWksDco, ,Munusamy Salai, 13.038817727872972, 80.19296394551884, 0,
cfVAtKgo, ,Pillaiyar Koil, 12.98139175, 80.23858044, 0,
CcDOWlNm, ,Chetpet, 12.924770861282418, 80.01231688076894, 0,
wrsPDGBQ, ,Ambattur Industrial Estate, 13.099698603449541, 80.17032184859568, 0,
jLuliqpT, ,Periyammal Nagar, 12.773855672489367, 80.20112664621729, 0,
sBpTKxuw, ,Velammal Vidayalaya Vanagaram, 13.0567, 80.154493, 0,
